date,sm_10cm,sm_20cm,sm_30cm,sm_40cm,sm_50cm,sm_60cm,irrig_mm,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,probe_name
2025-06-05,27.28344645555556,28.739952380555554,27.903321227777777,28.130828986111112,29.15761290277778,29.52179424166667,0.0,8130.0,11.83,18.77,1.427470904746842,9.76,19.81,Canon1
2025-06-06,27.6661391,29.15680928333333,29.09500325,29.352654291666667,29.980342949999997,30.029572375,0.0,17740.0,11.43,21.47,1.4205454392186043,8.55,1.52,Canon1
2025-06-07,27.599817833333333,29.083902941666665,28.968900466666668,29.13142944166667,29.713268625,29.835158341666666,0.0,14750.0,11.8,19.4,1.4480714018013503,8.81,9.4,Canon1
2025-06-08,27.737854041666665,29.30399538611111,29.275709708333334,29.461087519444444,30.003026313888892,30.059466730555556,0.0,25350.0,9.8,18.83,1.170809564600436,10.03,5.33,Canon1
2025-06-09,27.120510275,28.936477983333333,28.86672928333333,29.078388399999998,29.666780283333335,29.903197641666665,0.0,22650.0,6.4,20.4,1.1445433981395188,3.0,0.0,Canon1
2025-06-10,26.601098725,28.445045627777777,28.081508191666668,28.618801533333336,29.374286547222223,29.818585938888887,0.0,25280.0,7.73,22.13,1.3821716832805562,5.62,0.0,Canon1
2025-06-11,26.038747133333334,27.837348891666664,26.980842366666664,27.996247550000003,29.106669041666667,29.704043908333333,0.0,28490.0,12.33,25.8,1.5867528287267256,5.35,0.0,Canon1
2025-06-12,25.44544288333333,27.198527549999998,25.836025675000002,27.167972025,28.770832374999998,29.552457683333333,0.0,27670.0,12.03,29.63,1.755664265345694,4.48,0.0,Canon1
2025-06-13,25.189365266666666,26.70080221388889,24.924013291666668,26.322473000000002,28.313077933333332,29.32771618888889,0.0,26380.0,16.53,31.4,2.208536077336135,5.85,10.16,Canon1
2025-06-14,27.390241508333332,27.373266216666668,24.720987508333334,26.113077975,28.213829133333334,29.255563825,0.0,19980.0,15.89,25.47,2.061384162251466,6.44,7.11,Canon1
2025-06-15,26.643797033333332,27.27056408333333,24.73920815833333,26.100848858333332,28.204302249999998,29.26482523333333,0.0,18340.0,12.27,22.13,1.4406629500766204,6.25,0.0,Canon1
2025-06-16,26.049274044444445,27.005681186111115,24.62687626111111,25.96040395,28.098339594444443,29.253111958333335,0.0,29050.0,8.83,25.37,1.3599407185588697,2.61,0.0,Canon1
2025-06-17,26.93937646666667,27.913581225,26.152564683333335,26.759500966666668,28.051755566666667,29.233665375,25.0,29960.0,12.73,27.6,1.528679264262574,4.12,0.0,Canon1
2025-06-18,26.291503074999998,27.49304508333333,25.305282875,26.10619505,27.962937991666667,29.179417825,0.0,29440.0,11.63,27.2,1.4262083051287382,3.88,0.0,Canon1
2025-06-19,25.580784052777776,26.816630611111112,24.561086663888887,25.658986225000003,27.737743966666667,29.020845075,0.0,29530.0,13.43,28.93,1.5750141911622544,6.02,0.0,Canon1
2025-06-20,24.957896966666667,26.365985,24.010628208333333,25.221999266666668,27.367932975000002,28.737376049999998,0.0,27330.0,13.93,29.17,1.5784385652820665,4.65,0.0,Canon1
2025-06-21,24.565333544444446,26.07378695555556,23.575576555555557,24.769582383333333,26.93417560277778,28.434779155555557,0.0,29330.0,12.43,33.33,1.3846977065195885,2.44,0.0,Canon1
2025-06-22,24.349011708333332,25.848887183333332,23.231372750000002,24.37724486666667,26.568674083333335,28.220032183333334,0.0,24100.0,15.93,27.7,1.6033630783907211,4.99,0.0,Canon1
2025-06-23,24.235261066666666,25.77291385,23.027023908333334,24.133042399999997,26.326420591666665,28.13510608333333,0.0,22630.0,13.07,24.5,1.4241315726382138,9.64,0.0,Canon1
2025-06-24,24.23822589722222,25.718035347222223,22.852678058333336,23.898128680555555,26.051410794444447,28.03323275,25.0,29680.0,9.27,27.8,1.4752420462001044,5.83,0.0,Canon1
2025-06-25,25.854520433333334,25.99790499166667,22.818718841666666,23.837067991666668,26.008465716666667,28.072587799999997,0.0,21200.0,13.57,33.4,1.7429790883213712,2.56,22.35,Canon1
2025-06-26,27.479920258333333,28.399640050000002,25.668631816666664,24.826681091666668,26.107017374999998,28.145101325,0.0,18280.0,17.0,24.83,1.9503039905285855,7.54,8.89,Canon1
2025-06-27,26.764585280555554,28.032718347222225,25.405669836111112,24.94012381111111,26.133564875,28.153531055555558,0.0,16720.0,18.33,26.97,2.127922563808802,4.99,0.51,Canon1
2025-06-28,26.205413633333333,27.563102425,24.763716033333335,24.575341016666666,26.126293450000002,28.135408249999998,0.0,21180.0,16.03,27.5,2.00410147041332,3.88,0.0,Canon1
2025-06-29,25.69135043333333,27.040617408333333,24.243434675,24.405907533333334,26.085459941666667,28.094570425,0.0,24710.0,14.23,28.93,2.007563139159534,4.55,0.0,Canon1
2025-06-30,25.129660730555557,26.384225794444443,23.76198101388889,24.23501933333333,25.960085236111112,27.985058030555553,0.0,28740.0,16.9,34.93,2.006042694663837,3.67,0.0,Canon1
2025-07-01,24.71641870909091,25.81816860606061,23.3012482030303,23.990222736363638,25.73109986969697,27.812936375757577,30.0,28540.0,18.03,37.33,1.88988966430349,4.61,0.0,Canon1
2025-07-02,26.070852341666665,25.904250591666667,23.150266900000002,23.933217425,25.662402866666667,27.785995666666665,0.0,26290.0,17.59,30.9,2.0559778080809057,10.0,0.0,Canon1
2025-07-03,25.27554176111111,25.917501319444444,23.162077300000004,23.9548763,25.66282230277778,27.797425480555557,0.0,30190.0,13.43,24.83,1.2636860585422016,7.21,0.0,Canon1
2025-07-04,24.651787025,25.784286108333333,23.066264566666664,23.8775907,25.5871202,27.7624871,0.0,29290.0,10.13,27.37,1.0997111809155495,4.32,0.0,Canon1
2025-07-05,24.163956927777775,25.63194518611111,22.938981175,23.776739697222222,25.43693761111111,27.662739005555554,0.0,20030.0,10.37,27.03,1.0631648601853088,6.7,0.0,Canon1
2025-07-06,23.989623308333332,25.645557075,22.91584168333333,23.796940258333333,25.421901941666665,27.682514375,0.0,8610.0,13.73,20.9,1.582809467822719,9.19,8.64,Canon1
2025-07-07,24.770629175,25.734562424999996,22.944146066666665,23.8349075,25.478821508333336,27.776820591666667,0.0,10690.0,11.1,19.6,1.3018506867718331,9.0,11.94,Canon1
2025-07-08,25.466394112777778,25.87963235388889,22.982409719444444,23.879129879444445,25.503964796666665,27.800915361666668,0.0,22990.0,10.53,21.6,1.24700886472962,8.81,0.0,Canon1
2025-07-09,24.896941316666666,25.829529091666668,22.967492758333336,23.856732566666665,25.466523325,27.77470974166667,0.0,27340.0,8.63,26.0,1.1712349898226733,4.46,0.0,Canon1
2025-07-10,24.350539808333334,25.660257483333336,22.894810883333335,23.754699516666665,25.333248400000002,27.661459833333335,0.0,26490.0,10.53,28.33,1.3505269413899414,5.53,0.0,Canon1
2025-07-11,23.859500988888886,25.45713601388889,22.781422841666668,23.615135927777775,25.138522127777776,27.473556772222224,0.0,28330.0,13.93,28.67,1.60356588567642,6.56,0.0,Canon1
2025-07-12,23.500784550000002,25.285354983333335,22.67553500833333,23.482263891666666,24.922323316666667,27.249017441666666,0.0,26910.0,14.33,27.7,1.5051633834528837,6.23,0.0,Canon1
2025-07-13,24.841778633333334,25.320904891666668,22.6608605,23.467872125,24.848361550000003,27.167551149999998,25.0,29130.0,13.47,30.67,1.4050879326668195,4.71,0.0,Canon1
2025-07-14,25.864700572222223,25.589675666666665,22.715600869444444,23.513777716666667,24.86639946111111,27.186604916666667,0.0,20440.0,16.07,27.6,1.7164905845218514,10.7,5.08,Canon1
2025-07-15,25.211050041666667,25.669639758333332,22.743751291666666,23.577254300000003,24.9194959,27.230153608333335,0.0,17330.0,13.07,31.63,1.39531730465407,3.57,0.51,Canon1
2025-07-16,24.911228044444446,25.677498969444443,22.772947786111114,23.623570694444442,24.985325066666665,27.30421393888889,0.0,13180.0,15.71,23.8,1.646721099304934,3.91,1.02,Canon1
2025-07-17,24.701825825,25.608835191666667,22.7658332,23.615996383333336,24.97503629166667,27.283611208333337,0.0,21880.0,11.83,27.0,1.6605067146225556,3.61,0.0,Canon1
2025-07-18,24.40674065,25.432488566666667,22.700152958333334,23.532637233333332,24.869271483333335,27.183218491666665,0.0,19480.0,15.43,30.6,1.7419649762261065,4.75,0.0,Canon1
2025-07-19,24.0976112,25.32800077222222,22.666231872222223,23.466799433333335,24.768137019444442,27.092967783333332,0.0,15940.0,18.67,26.33,1.89239829610765,10.2,0.0,Canon1
2025-07-20,23.916386741666667,25.329935358333334,22.6740695,23.470183700000003,24.765900266666666,27.092838283333332,0.0,13970.0,15.23,24.93,1.592617923075981,9.0,2.79,Canon1
2025-07-21,23.877972725000003,25.410639758333332,22.707873316666667,23.522641991666664,24.830056725000002,27.155462325000002,0.0,14200.0,14.13,22.87,1.7083949284326057,13.96,0.51,Canon1
